,Brand Name,Product Name,Page number of Product,Product Price ($),Average Rating,Availability of Free Delivery,Seller Name,Additional Tags
49,Gucci,Gucci Mens Fully Iced Out Diamond Gucci Watch 12 Ct,5,5499.99,0.0,True,Jewelry Unlimited Inc,NA
50,Anself,Women Fashion Brilliant Starry Night Dial Watch Lady Exquisite Heart-Shaped Calendar Quartz Wrist Watch,6,7.47,4.3,False,fulfilled by Walmart,Reduced Price
51,Armitron,Women's Dress Oval Watch and Bracelet Set,6,41.18,4.0,False,NA,NA
52,Armitron,Armitron Women's Diamond Dial Leather Strap Dress Watches,6,22.99,4.0,False,NA,NA
53,Timex,"Women's New England Silver-Tone Dial Watch, Brown Leather Strap",6,49.0,4.4,True,Top One International Corp.,Reduced Price
54,Timex,"Men's Expedition Scout Watch, Green Nylon Slip-Thru Strap",6,53.9,3.8,True,VirVentures,NA
55,Elgin,ELGIN Men's Crystal Accent Silver-Tone and Black Watch and Cross Bracelet Set,6,34.99,4.8,True,On Time Watches,NA
56,Burberry,Burberry Unisex Classic Checked Analog Quartz 38mm Watches,6,217.0,4.6,True,Timepieces,Reduced Price
57,Anself,Color Screen 116 Plus Smart Watch Smart Bracelet Heart Rate Blood Pressure Sleep Monitoring Pedometer Sports Smartwatch Fitness Tracker IP67 Waterproof USB Direct Charge,6,8.99,2.2,True,Save money,NA
58,G-SHOCK,Casio Men's GA-100 Ani-Digi G-Shock Watch Series,6,69.3,4.6,False,NA,Rollback
59,Timex,Timex Men's DGTL Tactic Combo Resin Strap 50mm Watch,6,34.3,3.6,True,The Wrist Outlet,NA
60,Geneva,Silver Western Style Decorated Bangle Cuff Watch for Women,7,24.99,4.0,True,ShowTime Collection,NA
61,Armitron,"Armitron Women's Round Dress Watch, Two-Tone Bracelet Set",7,38.0,5.0,False,NA,NA
62,Timex,"Timex Men's Easy Reader 35mm Silver-Tone/Blue Watch, Perfect Fit Expansion Band",7,45.5,0.0,True,NA,NA
63,Marvel,Marvel The Amazing Spiderman Kids LCD Watch With Clock Gift Set,7,19.99,0.0,True,Quality Deals,NA
64,Timex,Timex Womens Ironman Sleek 50 Dark Blue Silicone Strap Watch TW5K90500,7,28.95,4.3,True,Perfect Deals,Reduced Price
65,Fossil,Fossil Gen 5 Julianna HR Smartwatch - Rose Stainless Steel Mesh,7,199.0,3.9,True,NA,Rollback
66,Casio,Men's Edifice Chronograph Watch EF-527D-1AV EF527D-1AV,7,124.0,3.5,True,Top One International Corp.,Reduced Price
67,Timex,Boys Time Machines Digital Watch,7,17.5,4.0,False,NA,NA
68,Casio,A168WEM-7VT Vintage Silver Digital Watch,7,58.5,0.0,True,NSA ELECTRONICS,NA
69,Timex,"Unisex Expedition Mid-Size Digital CAT Black/Red Watch, Fast Wrap Strap",7,34.92,4.4,False,NA,NA
70,Armitron,Armitron Unisex Sport Watch with Red Square Dial and Black Velcro Band,8,15.88,5.0,False,NA,NA
71,Anself,Female Clocks Women Luxury Quartz Watch Stainless Steel Dress Watches Christmas Gift Lady Watches Elegance Wristwatches,8,6.79,3.0,True,Joybuy,Reduced Price
72,Armitron,Armitron Men's Round Dress Bracelet Watch,8,47.34,4.0,False,NA,NA
73,Anself,Men Women Fashion Simple Ultra-Thin Watch Minimalist Casual Leather Band Wrist Watch,8,6.07,2.3,True,Joybuy,Reduced Price
74,Timex,Timex Women's Stretch Bangle 25mm Stainless Steel Expansion Band Watches,8,27.16,4.9,False,Perfect Deals,Reduced Price
75,Casio,CASIO F91W-1 Casual Sport Watch,8,13.5,5.0,True,NSA ELECTRONICS,NA
76,Timex,"Men's New England Black Watch, Stainless Steel Bracelet",8,66.94,4.7,True,AMI Ventures Inc,NA
77,Timex,"Marathon Unisex Digital Mid-Size Watch, Black Resin Strap",8,15.88,4.2,False,NA,NA
78,Casio,Casio Men's Analog-Digital Watches AMW860,8,70.31,2.0,True,NA,Rollback
79,Casio,Men's Illuminator Digital Watch A178WA-1A,8,19.57,4.4,False,NA,NA
80,Timex,Timex Men's Weekender 40mm Brown Leather Slip-Thru Strap Watch,9,39.92,4.0,True,NA,NA
81,Burberry,Burberry Men's Classic Chronograph 42mm Watches,9,285.0,4.3,True,Timepieces,Reduced Price
82,Armitron,"Men's Round Sport Watch, Dark Green",9,18.82,4.6,False,NA,NA
83,Timex,Timex Women's Weekender 38mm Metallic Fabric |Silver-Tone| Watch TW2R92500,9,29.99,3.0,True,The Perfect Watch,NA
84,Just Cavalli,Just Cavalli Women's Glam Chic Watch (JC1L022M0035),9,146.36,0.0,False,NA,NA
85,Fossil,Fossil Women's Riley Multifunction Stainless Steel Watch,9,77.94,4.5,False,NA,Best Seller
86,Timex,"Women's Ironman Essential 30 Mid-Size Watch, Purple Resin Strap",9,43.17,5.0,True,Milam Shops,NA
87,Casio,"Men's Classic Digital Watch, Black Resin Strap",9,15.16,4.3,False,NA,Rollback
88,Casio,Casio Men's Stainless Steel Vintage Calculator Watch,9,53.16,5.0,True,NA,Rollback
89,Casio,Casio Vintage A168WGG Digital Metal Men's Watch,9,75.0,0.0,True,Central Fashion USA,NA
90,Timex,Timex Men's Weekender XL 43mm Two-Piece Leather Strap Watches,10,49.0,0.0,True,NA,NA
91,Timex,Mens Marathon Digital Sport Watch,10,19.92,4.0,False,NA,NA
92,Anself,Lady Student Fashion Exquisite Wristwatch Women Elegant Water-Resistant Watch,10,14.99,2.0,True,Save money,Reduced Price
93,Casio,"Men's Blue Dial Ana-Digi Watch, Black Resin Strap",10,15.96,3.8,False,NA,Rollback
94,Timex,"Timex Men's DGTL Analog-Digital 50mm Black Watch, Resin Strap",10,39.9,5.0,True,NA,NA
95,Timex,Men's Timex Fullsize Ironman Classic 30 Black Resin Digital Watch T5K821,10,44.0,0.0,True,Top One International Corp.,Reduced Price
96,Timex,"Women's Fairfield 37 White Dial Watch, Taupe Leather Slip-Thru Strap",10,34.49,0.0,True,Shopemco,NA
97,Casio,Casio Men's Gold-Tone Vintage Calculator Watch,10,62.97,0.0,True,NA,Rollback
98,Anself,Bright Stars Ladies Heart-shape Watch with Calendar Star Dial Mesh Band Watches Rose Golden,10,7.99,5.0,True,Joybuy,Reduced Price
99,Armitron,Armitron Men's Day Date Leather Strap Dress Watches,10,24.94,4.0,False,NA,NA
100,SKMEI,SKMEI 1426 Digital Movement Men Watch 5ATM Waterproof EL Backlight Outdoor Sports Wrist Watch Week Month 12/24-Hours Alarm Countdown Stopwatch Wristwatch for Male with PU Strap Band,11,10.97,5.0,True,Save money,Reduced Price
101,Armitron,Armitron Women's 3 Piece Gold-Tone Bracelet and Watch Box Set,11,69.0,3.0,False,NA,NA
102,Armitron,Armitron Women's Black Enamel and Gold-Tone Bangle Watch,11,45.0,4.5,False,NA,NA
103,Anself,Stylish Women Quartz Watches PU Leather Casual Wristwatch for Ladies Lady Watches Elegance Wristwatches,11,7.03,5.0,True,Save money,Reduced Price
104,Anself,Fashion Contrast Color Lovely Watch Sweet Simple Girl Quartz Wrist Watch,11,6.09,0.0,True,Joybuy,Reduced Price
105,Rolex,Mens Rolex 36mm DateJust Diamond Jubilee Watch Roman Numeral Green Dial 1.90 CT.,11,6695.0,0.0,True,JFL Diamonds & Timepieces,Reduced Price
106,Armitron,Armitron Men's Day Date Dress Watches,11,39.0,1.0,False,NA,NA
107,Casio,"Men's Black Chronograph Watch, Resin Strap, MCW100H-1A3V",11,41.5,0.0,True,NA,NA
108,Armitron,Armitron Men's Silver-Tone Stainless Steel Watch,11,36.0,4.7,False,NA,NA
109,Timex,"Timex Women's Fashion Stretch Bangle 21mm Gold-Tone Watch, Expansion Band",11,45.5,5.0,True,NA,NA
110,ESS,New Minimal Golden Case Quartz Wrist Watch Retro Black Dial Brown Leather Mens,12,10.99,0.0,True,Hadley Trading Group Corp,NA
111,Armitron,Armitron Men's Day Date Dress Watches,12,33.42,0.0,False,NA,NA
112,Ametoys,Women Fashion Elegant Quartz Watches Lady Graceful Bangle Watch Trendy Super Slim Wristwatch,12,7.99,2.0,True,Save money,Reduced Price
113,Timex,Women's Style Elevated TW2P79100 Silver Stainless-Steel Quartz Fashion Watch,12,49.99,4.0,True,NSA ELECTRONICS,NA
114,MICHELE,"michele women's serein swiss-quartz watch with stainless-steel strap, silver, 16 (model: mww21b000030)",12,1175.0,0.0,True,Timepieces,Reduced Price
115,Anself,Stylish Women Quartz Watches Rhinestone Diamond Casual Wristwatch for Ladies Lady Watches Elegance Wristwatches,12,15.99,1.0,True,Save money,NA
116,Armitron,Armitron Men's Sport Black Round Watch,12,16.97,5.0,False,NA,NA
117,Casio,Casio Men's Classic Analog Stainless Steel Watches MQ24,12,20.48,0.0,False,NA,Rollback
118,Timex,Timex Gents Marathon Digital Full 50MM,12,21.8,3.5,True,InfoSales,NA
119,Armitron,Refurbished Eclipse by Armitron Men's Silver-Tone and Black Calendar Dress Watch,12,14.99,0.0,True,VIPOUTLET,NA
120,Anself,Animal Dial Palte Cute Cat Design Wrist Watch Fashionable Quartz Movement Adjustable Pin Buckle Band for Girl Kids Chidren Present Gift Mint Green,13,6.56,0.0,True,Save money,Reduced Price
121,Timex,Timex Men's #T5K195 IRONMAN Endure Shock 30-Lap Watch With Grey Resin Band,13,59.44,0.0,True,AMI Ventures Inc,NA
122,SKMEI,SKMEI 1409 Women Quartz Watch Simple Wristwatch Fashion Casual Female Watches 3ATM Waterproof Alloy Strap Ladies Timer,13,12.44,5.0,True,Save money,Reduced Price
123,Casio,Men's Ana-digi Watch Quartz Mineral Crystal AQW-101-1AV,13,48.79,4.8,True,Shopemco,NA
124,Longines,Longines Hydroconquest Automatic Blue Ceramic Bezel 41 mm Men's Watch L37814969,13,1200.83,0.0,True,Fashiongalaxy,Reduced Price
125,Reizen,Digital Analog Water-Resistant Talking Watch- Black,13,32.95,0.0,False,Maxi-Aids,NA
126,Just Cavalli,Just Cavalli Women's Just Glam Evo 3 Watch Quartz Mineral Crystal JC1L120M0035,13,180.6,0.0,True,Watches Trusted Partner,NA
127,Casio,AQ47-1E Mens Casual Classic Analog & Digital Water Resistant Watch - Black,13,28.48,4.2,True,JJD Vending LLC,NA
128,Anself,Women Fashion Brilliant Starry Night Dial Watch Lady Exquisite Heart-Shaped Calendar Quartz Wrist Watch,13,6.39,0.0,True,Joybuy,Reduced Price
129,Anself,Bright Stars Ladies Heart-shape Watch with Calendar Star Dial Mesh Band Watches Golden,13,5.61,0.0,True,Joybuy,Reduced Price
130,Casio,MTP-VS01GL-1B Men's Standard Gold Tone Solar Leather Band Date Watch,14,33.96,0.0,True,Watchtronics,NA
131,Geneva,"JF Collections Inc Women's Stretch Band Watch with Round Faux Marble Bezel, Crystal Accents, and Easy Read Dial",14,17.45,5.0,True,Overstock,NA
132,Armitron,Armitron Men's Dress Watch with Blue Round Dial and Silver Tone Bracelet,14,39.0,0.0,False,NA,NA
133,Casio,Men's AQ-230A-7B Digital Analog Dress Watch,14,34.0,4.5,True,NSA ELECTRONICS,NA
134,Casio,Casio Men's Glossy Resin Digital Sport Watches W214HC,14,18.5,4.0,False,NA,NA
135,Gucci,Gucci Le Marche Des Merveilles Quartz Gold Dial Men's Watch YA126487A,14,672.4,0.0,True,Watches Trusted Partner,NA
136,SKMEI,SKMEI 1426 Digital Movement Men Watch 5ATM Waterproof EL Backlight Outdoor Sports Wrist Watch Week Month 12/24-Hours Alarm Countdown Stopwatch Wristwatch for Male with PU Strap Band,14,9.69,5.0,True,Joybuy,NA
137,Timex,Timex Women's Cavatina 19mm | Two-Toned Expansion Band | Watch T2M570,14,37.99,0.0,True,Timex,Reduced Price
138,Casio,"Men's Digital Watch, Black - F200W-1A",14,16.68,0.0,False,NA,NA
139,Casio,Casio Mens 10 yr battery Casual Watch,14,41.05,4.4,True,VirVentures,NA
140,Timex,Timex X Todd Snyder Military Inspired Fabric Watch with Extra Strap TWG0176007S,15,49.95,0.0,True,Perfect Deals,Reduced Price
141,Michael Kors,Michael Kors Men's Lexington Watch - MK8733,15,109.5,0.0,True,Luxchoice,Best Seller
142,SKMEI,SKMEI Men Sports Watches Countdown Double Time Watch Alarm Chronograph Digital Wristwatches 50M Waterproof Relogio Masculino,15,11.38,4.5,True,Save money,Reduced Price
143,Armitron,Armitron Men's Analog-Digital Watches,15,17.82,5.0,False,NA,Rollback
144,Casio,Casio Men's MTP1096Q-9B1 Brown Leather Quartz Watch with Gold Dial,15,18.95,2.5,True,NSA ELECTRONICS,NA
145,Anself,M4 Smart Bracelet 0.96-Inch Screen BT4.0 Smart Watch Heart Rate Blood Pressure Blood Oxygen Monitoring IP67 Waterproof Wristwatch for Android / iOS Valentine's Day Gifts for Her/Him,15,14.5,1.3,True,Save money,Reduced Price
146,Timex,Timex Women's Main Street Classic TW2T67100 Silver Stainless-Steel Japanese Quartz Fashion Watch,15,32.52,0.0,True,AreaTrend,Reduced Price
147,SKMEI,SKMEI 1085 Fashionable Retro Style 3ATM Waterproof Quartz Women's Watch with Leather Strap,15,12.54,4.0,True,Save money,Reduced Price
148,Casio,Men's Tough Solar Black Leather Band Watch AMWS820L-1AV,15,90.0,0.0,True,Top One International Corp.,Reduced Price
149,Casio,Casio Men's Slim-Digital Stainless Steel Watch A700W-1A,15,27.95,0.0,True,NSA ELECTRONICS,NA
150,Disney,Disney Women's MCK308 Minnie Mouse Nurse White Strap Watch,16,19.99,3.0,True,On Time Watches,Best Seller
151,MICHELE,Michele Women's Deco II Mid Diamond 26mm Watches,16,871.0,0.0,True,Timepieces,Best Seller
152,Bulova,Bulova Women's Rose-Gold Turnstyle Crystal Accent Watch with Mother-of-Pearl Dial,16,140.51,4.7,True,NA,Best Seller
153,Timex,Women's Timex Porter Street Black Leather Band Watch T29291 T292919J,16,46.0,0.0,True,Top One International Corp.,Reduced Price
154,Anself,Bright Stars Ladies Heart-shape Watch with Calendar Star Dial Mesh Band Watches Red,16,7.0,4.8,True,Save money,Reduced Price
155,Armitron,Armitron Women's Instalite Expansion Band Dress Watches,16,39.0,0.0,False,NA,NA
156,TAG Heuer,Tag Heuer Men's Formula 1 Analog Quartz 41mm Watches,16,1100.0,3.0,True,Loyallux,Reduced Price
157,Anself,Quartz Watch Women PU Leather Strap Wrist Watch Casual Female Clock,16,9.34,5.0,True,Save money,Reduced Price
158,SKMEI,SKMEI 1405 Men Analog Digital Watch Fashion Casual Sports Wristwatch 5ATM Waterproof Leather Strap Backlight Multifunctional Watches Relogio Masculino,16,10.85,0.0,True,Save money,Reduced Price
159,Casio,NEW RETRO SILVER & BLACK WATCH A168WEM-1VT,16,60.0,0.0,True,Central Fashion USA,NA
160,Armitron,Armitron Women's Gift Watch and Jewlery Set,17,69.0,0.0,False,NA,NA
161,ESS,Military Watch Mens Automatic Mechanical Stainless Steel Strap Silver Case Black,17,23.79,0.0,True,Hadley Trading Group Corp,Reduced Price
162,Timex,Timex Women's Easy Reader TW2T72300 Brown Leather Analog Quartz Fashion Watch,17,59.0,0.0,True,Top One International Corp.,Reduced Price
163,Timex,Women's Timex Stretch Bangle 12mm Band Watch TW2R92900,17,38.0,0.0,True,Top One International Corp.,Reduced Price
164,Timex,Timex Q Reissue 38mm Stainless Steel Bracelet Watch,17,170.0,0.0,True,Central Fashion USA,NA
165,Anself,Fashion Women Brilliant Starry Night Black Dial Quartz Watch Student Calendar Alloy Case PU Leather Band Wrist Watch,17,7.61,0.0,True,Save money,Reduced Price
166,Casio,Men's Classic Day and Date Steel Watch MTP1381L-1A,17,52.0,3.0,True,Wide Embrace,NA
167,Timex,Women's Weekender Blue and White Slip-Thru Watch TW2P91900,17,28.45,5.0,False,NA,NA
168,SKMEI,"SKMEI Boys Digital Watch with Rotatable Car, 4 to 8 year olds",17,13.75,5.0,True,Gifts Are Blue,NA
169,Timex,Timex Men's Southview 41mm Leather Strap Watches,17,41.3,0.0,True,NA,Reduced Price
170,Timex,Easy Readers Women's Gold Analog Watch TW2P75700,18,79.0,0.0,True,NSA ELECTRONICS,NA
171,Movado,Movado Modern Classic Quartz Movement Black Dial Ladies Watch 0607134,18,449.99,0.0,True,The Perfect Watch,NA
172,Armitron,Armitron Unisex Sport Red Round Watch,18,16.97,5.0,False,NA,NA
173,Timex,Timex T80 x PAC-MAN 34mm Stainless Steel Bracelet Watch,18,89.0,0.0,True,Central Fashion USA,NA
174,Victorinox,Victorinox Men's Original XL Anniversary Edition Black Dial Watch 43mm,18,97.5,1.0,True,Luxchoice,NA
175,Timex,classic casual men's watch indiglo illumination,18,52.15,3.9,True,Milam Shops,NA
176,ESS,ESS Black Dial Quartz Mens Watch Golden Stainless Steel Band Roman Numerals,18,13.87,0.0,True,Hadley Trading Group Corp,Reduced Price
177,Armitron,Armitron Women's Mother of Pearl Dress Bracelet and Watch Sets,18,58.92,3.0,False,NA,NA
178,Casio,Men's Analog Quartz Black Dial Leather Watch MTPV006L-1B,18,30.95,5.0,True,Shopemco,NA
179,Casio,"Men's World Time Watch, Silver Tone Bracelet",18,32.55,5.0,True,NSA ELECTRONICS,NA
180,Burberry,Burberry Men's Classic Analog Quartz 40mm Watches,19,259.99,2.3,True,WATCH PLACE,Reduced Price
181,Bulova,Bulova Special Edition Chronograph White Dial Men's Watch Set 96K101,19,258.72,4.7,False,NA,NA
182,Timex,Timex Women's Meriden 24mm Watch  Silver-Tone with Expansion Band,19,46.5,0.0,True,NA,NA
183,CITIZEN,Citizen Quartz EJ6121-51D Diamond Accents Women's Watch,19,44.99,0.0,True,NA,NA
184,Anself,Fashion Contrast Color Lovely Watch Sweet Simple Girl Quartz Wrist Watch,19,7.89,4.0,True,Joybuy,Reduced Price
185,Casio,MTP-1183E-7B Men's Analog Watch w/ Numbered Dial & Genuine Leather Band,19,29.95,0.0,True,Shopemco,NA
186,Victorinox,Victorinox Men's Night Vision Anthracite Dial Stainless Steel Watch 241730,19,269.99,4.0,True,My Gift Stop,NA
187,SKMEI,SKMEI 1155B Quartz Digital Electronic Men Watch Fashion Casual Outdoor Sports Male Wristwatch Dual Time Date Week Chrono Alarm 5ATM Waterproof Luminous Multifunctional Watches Relogio Masculino,19,13.6,5.0,True,Save money,Reduced Price
188,Timex,Timex Women's Classic Digital Mini Black Resin Strap Watch,19,32.9,3.0,False,NA,NA
189,Timex,Timex Women's Easy Reader Pop Silver Tone Brass/White Leather Watch TW2T28400,19,34.9,0.0,True,Shopemco,NA
190,Timex,Mens Easy Reader Expansion Brass Case Stainless Steel Bracelet White Dial Gold Watch - T20471,20,57.63,4.0,True,AMI Ventures Inc,NA
191,Casio,Men's Duro 200 Diver's Watch MDV106-1AV,20,66.0,3.7,True,Top One International Corp.,NA
192,Timex,Timex Women's Metropolitan 34mm MOP Dial Leather Strap Watches,20,42.0,5.0,True,NA,Clearance
193,Timex,Timex Women's TW2R63400 Easy Reader Brown Croco Pattern Leather Strap Watch,20,41.81,3.2,True,DropAir,NA
194,Timex,Timex Men's Weekender T2N893 White Calf Skin Quartz Fashion Watch,20,45.0,0.0,True,NSA ELECTRONICS,NA
195,Movado,Movado Men's Bold Large Analog Quartz 42mm Watches,20,292.93,4.7,True,AMI Ventures Inc,NA
196,Kate Spade New York,Kate Spade New York Park Row Glossy Pink Dial Ladies Watch KSW1477,20,63.0,0.0,True,DiscountShop,NA
197,Anself,Intelligent Kids Watch Q12B Smartwatch Phone Watch for Android IOS 2G SIM Card,20,12.99,3.0,True,Joybuy,Reduced Price
198,Timex,Timex Ladies Style Elevated 38MM,20,31.69,5.0,True,My Gift Stop,NA
199,Diesel,Diesel Men's Mr. Daddy 2.0 Chronograph Watch 57mm,20,245.92,4.5,True,Fashiongalaxy,Reduced Price
